Neighbourhood,Latitude,Longitude
Ajuda,38.71217411,-9.198652847
Alcantara,38.70959361,-9.183389907
Alvalade,38.75388389,-9.146498312
Areeiro,38.74137591,-9.13352688
Arroios,38.72765301,-9.137942043
Avenidas Novas,38.73746034,-9.152329246
Beato,38.73104952,-9.110094935
Belem,38.69620275,-9.213138493
Benfica,38.73774207,-9.196364914
Campo de Ourique,38.71853771,-9.165754765
Campolide,38.73115367,-9.16727113
Carnide,38.765196,-9.186736071
Estrela,38.70376307,-9.16345952
Lumiar,38.76979076,-9.163492228
Marvila,38.74793007,-9.110955554
Misericordia,38.70544128,-9.146675288
Olivais,38.77103021,-9.12465191
Parque das Nacoes,38.77480186,-9.095480369
Penha de Franca,38.72642769,-9.120540501
Santa Clara,38.78515856,-9.152172006
Santa Maria Maior,38.7083069,-9.132405412
Santo Antonio,38.72134031,-9.148809599
Sao Domingos de Benfica,38.74644653,-9.176373999
Sao Vicente,38.71639032,-9.121722824
